Designator,Mid X,Mid Y,Rotation,Layer
D1,95.715625,-85.7875,90.0,bottom
D10,114.765625,-142.9375,90.0,bottom
D11,114.765625,-161.9875,90.0,bottom
D12,114.765625,-181.0375,90.0,bottom
D14,133.815625,-104.8375,90.0,bottom
D15,133.815625,-123.8875,90.0,bottom
D16,133.815625,-142.9375,90.0,bottom
D17,133.815625,-161.9875,90.0,bottom
D18,133.815625,-181.0375,90.0,bottom
D2,95.715625,-104.8375,90.0,bottom
D20,152.865625,-105.296875,90.0,bottom
D21,152.865625,-123.8875,90.0,bottom
D22,152.865625,-142.9375,90.0,bottom
D23,152.865625,-161.9875,90.0,bottom
D24,152.865625,-181.0375,90.0,bottom
D26,171.915625,-104.8375,90.0,bottom
D27,171.915625,-123.8875,90.0,bottom
D28,171.915625,-142.9375,90.0,bottom
D29,171.915625,-161.9875,90.0,bottom
D3,95.715625,-123.8875,90.0,bottom
D30,171.915625,-181.0375,90.0,bottom
D32,190.965625,-104.8375,90.0,bottom
D33,190.965625,-123.8875,90.0,bottom
D34,190.965625,-142.9375,90.0,bottom
D35,190.965625,-161.9875,90.0,bottom
D38,210.015625,-104.8375,90.0,bottom
D39,210.015625,-123.8875,90.0,bottom
D4,95.715625,-142.9375,90.0,bottom
D40,210.015625,-142.9375,90.0,bottom
D41,210.015625,-161.9875,90.0,bottom
D42,200.490625,-181.0375,90.0,bottom
D44,229.065625,-104.8375,90.0,bottom
D45,229.065625,-123.8875,90.0,bottom
D46,229.065625,-142.9375,90.0,bottom
D47,229.065625,-161.9875,90.0,bottom
D48,229.065625,-181.0375,90.0,bottom
D5,95.715625,-161.9875,90.0,bottom
D50,248.115625,-104.8375,90.0,bottom
D51,248.115625,-123.8875,90.0,bottom
D52,248.115625,-142.9375,90.0,bottom
D53,248.115625,-161.9875,90.0,bottom
D54,248.115625,-181.0375,90.0,bottom
D56,267.165625,-104.8375,90.0,bottom
D57,267.165625,-123.8875,90.0,bottom
D58,267.165625,-142.9375,90.0,bottom
D59,267.165625,-161.9875,90.0,bottom
D6,95.715625,-181.0375,90.0,bottom
D60,267.165625,-181.0375,90.0,bottom
D62,286.215625,-104.8375,90.0,bottom
D63,286.215625,-123.8875,90.0,bottom
D64,286.215625,-142.9375,90.0,bottom
D65,286.215625,-161.9875,90.0,bottom
D66,286.215625,-181.0375,90.0,bottom
D67,305.265444,-85.787488,90.0,bottom
D68,305.265625,-104.8375,90.0,bottom
D69,305.265625,-123.8875,90.0,bottom
D70,305.265625,-142.9375,90.0,bottom
D71,305.265625,-161.9875,90.0,bottom
D72,305.265625,-181.0375,90.0,bottom
D8,114.765625,-104.8375,90.0,bottom
D9,114.765625,-123.8875,90.0,bottom
SW1,99.2875,-81.025,0.0,bottom
SW10,118.3375,-138.175,0.0,bottom
SW11,118.3375,-157.225,0.0,bottom
SW12,118.3375,-176.275,0.0,bottom
SW14,137.3875,-100.075,0.0,bottom
SW15,137.3875,-119.125,0.0,bottom
SW16,137.3875,-138.175,0.0,bottom
SW17,137.3875,-157.225,0.0,bottom
SW18,137.3875,-176.275,0.0,bottom
SW2,99.2875,-100.075,0.0,bottom
SW20,156.4375,-100.075,0.0,bottom
SW21,156.4375,-119.125,0.0,bottom
SW22,156.4375,-138.175,0.0,bottom
SW23,156.4375,-157.225,0.0,bottom
SW24,156.4375,-176.275,0.0,bottom
SW26,175.4875,-100.075,0.0,bottom
SW27,175.4875,-119.125,0.0,bottom
SW28,175.4875,-138.175,0.0,bottom
SW29,175.4875,-157.225,0.0,bottom
SW3,99.2875,-119.125,0.0,bottom
SW30,175.4875,-176.275,0.0,bottom
SW32,194.5375,-100.075,0.0,bottom
SW33,194.5375,-119.125,0.0,bottom
SW34,194.5375,-138.175,0.0,bottom
SW35,194.5375,-157.225,0.0,bottom
SW38,213.5875,-100.075,0.0,bottom
SW39,213.5875,-119.125,0.0,bottom
SW4,99.2875,-138.175,0.0,bottom
SW40,213.5875,-138.175,0.0,bottom
SW41,213.5875,-157.225,0.0,bottom
SW42,204.0625,-176.275,0.0,bottom
SW44,232.6375,-100.075,0.0,bottom
SW45,232.6375,-119.125,0.0,bottom
SW46,232.6375,-138.175,0.0,bottom
SW47,232.6375,-157.225,0.0,bottom
SW48,232.6375,-176.275,0.0,bottom
SW5,99.2875,-157.225,0.0,bottom
SW50,251.6875,-100.075,0.0,bottom
SW51,251.6875,-119.125,0.0,bottom
SW52,251.6875,-138.175,0.0,bottom
SW53,251.6875,-157.225,0.0,bottom
SW54,251.6875,-176.275,0.0,bottom
SW56,270.7375,-100.075,0.0,bottom
SW57,270.7375,-119.125,0.0,bottom
SW58,270.7375,-138.175,0.0,bottom
SW59,270.7375,-157.225,0.0,bottom
SW6,99.2875,-176.275,0.0,bottom
SW60,270.7375,-176.275,0.0,bottom
SW62,289.7875,-100.075,0.0,bottom
SW63,289.7875,-119.125,0.0,bottom
SW64,289.7875,-138.175,0.0,bottom
SW65,289.7875,-157.225,0.0,bottom
SW66,289.7875,-176.275,0.0,bottom
SW67,308.8375,-81.025,0.0,bottom
SW68,308.8375,-100.075,0.0,bottom
SW69,308.8375,-119.125,0.0,bottom
SW70,308.8375,-138.175,0.0,bottom
SW71,308.8375,-157.225,0.0,bottom
SW72,308.8375,-176.275,0.0,bottom
SW8,118.3375,-100.075,0.0,bottom
SW9,118.3375,-119.125,0.0,bottom
U1,223.985515,-80.072487,90.0,top
