Designator,Mid X,Mid Y,Rotation,Layer
D1,94.525,-79.834375,270.0,bottom
D10,113.575,-136.984375,270.0,bottom
D11,113.575,-156.034375,270.0,bottom
D12,113.575,-175.084375,270.0,bottom
D14,132.625,-98.884375,270.0,bottom
D15,132.625,-117.934375,270.0,bottom
D16,132.625,-136.984375,270.0,bottom
D17,132.625,-156.034375,270.0,bottom
D18,132.625,-175.084375,270.0,bottom
D2,94.525,-98.884375,270.0,bottom
D20,151.675,-98.884375,270.0,bottom
D21,151.675,-117.934375,270.0,bottom
D22,151.675,-136.984375,270.0,bottom
D23,151.675,-156.034375,270.0,bottom
D24,151.675,-175.084375,270.0,bottom
D26,170.725,-98.884375,270.0,bottom
D27,170.725,-117.934375,270.0,bottom
D28,170.725,-136.984375,270.0,bottom
D29,170.725,-156.034375,270.0,bottom
D3,94.525,-117.934375,270.0,bottom
D30,170.725,-175.084375,270.0,bottom
D32,189.775,-98.884375,270.0,bottom
D33,189.775,-117.934375,270.0,bottom
D34,189.775,-136.984375,270.0,bottom
D35,189.775,-156.034375,270.0,bottom
D38,208.825,-98.884375,270.0,bottom
D39,208.825,-117.934375,270.0,bottom
D4,94.525,-136.984375,270.0,bottom
D40,208.825,-136.984375,270.0,bottom
D41,208.825,-156.034375,270.0,bottom
D42,199.3,-175.084375,270.0,bottom
D44,227.875,-98.884375,270.0,bottom
D45,227.875,-117.934375,270.0,bottom
D46,227.875,-136.984375,270.0,bottom
D47,227.875,-156.034375,270.0,bottom
D48,227.875,-175.084375,270.0,bottom
D5,94.525,-156.034375,270.0,bottom
D50,246.925,-98.884375,270.0,bottom
D51,246.925,-117.934375,270.0,bottom
D52,246.925,-136.984375,270.0,bottom
D53,246.925,-156.034375,270.0,bottom
D54,246.925,-175.084375,270.0,bottom
D56,265.975,-98.884375,270.0,bottom
D57,265.975,-117.934375,270.0,bottom
D58,265.975,-136.984375,270.0,bottom
D59,265.975,-156.034375,270.0,bottom
D6,94.525,-175.084375,270.0,bottom
D60,265.975,-175.084375,270.0,bottom
D62,285.025,-98.884375,270.0,bottom
D63,285.025,-117.934375,270.0,bottom
D64,285.025,-136.984375,270.0,bottom
D65,285.025,-156.034375,270.0,bottom
D66,285.025,-175.084375,270.0,bottom
D67,304.075,-79.834375,270.0,bottom
D68,304.075,-98.884375,270.0,bottom
D69,304.075,-117.934375,270.0,bottom
D70,304.075,-136.984375,270.0,bottom
D71,304.075,-156.034375,270.0,bottom
D72,304.075,-175.084375,270.0,bottom
D8,113.575,-98.884375,270.0,bottom
D9,113.575,-117.934375,270.0,bottom
SW1,98.3875,-83.2,0.0,top
SW10,117.4375,-140.35,0.0,top
SW11,117.4375,-159.4,0.0,top
SW12,117.4375,-178.45,0.0,top
SW14,136.4875,-102.25,0.0,top
SW15,136.4875,-121.3,0.0,top
SW16,136.4875,-140.35,0.0,top
SW17,136.4875,-159.4,0.0,top
SW18,136.4875,-178.45,0.0,top
SW2,98.3875,-102.25,0.0,top
SW20,155.5375,-102.25,0.0,top
SW21,155.5375,-121.3,0.0,top
SW22,155.5375,-140.35,0.0,top
SW23,155.5375,-159.4,0.0,top
SW24,155.5375,-178.45,0.0,top
SW26,174.5875,-102.25,0.0,top
SW27,174.5875,-121.3,0.0,top
SW28,174.5875,-140.35,0.0,top
SW29,174.5875,-159.4,0.0,top
SW3,98.3875,-121.3,0.0,top
SW30,174.5875,-178.45,0.0,top
SW32,193.6375,-102.25,0.0,top
SW33,193.6375,-121.3,0.0,top
SW34,193.6375,-140.35,0.0,top
SW35,193.6375,-159.4,0.0,top
SW38,212.6875,-102.25,0.0,top
SW39,212.6875,-121.3,0.0,top
SW4,98.3875,-140.35,0.0,top
SW40,212.6875,-140.35,0.0,top
SW41,212.6875,-159.4,0.0,top
SW42,203.1625,-178.45,0.0,top
SW44,231.7375,-102.25,0.0,top
SW45,231.7375,-121.3,0.0,top
SW46,231.7375,-140.35,0.0,top
SW47,231.7375,-159.4,0.0,top
SW48,231.7375,-178.45,0.0,top
SW5,98.3875,-159.4,0.0,top
SW50,250.7875,-102.25,0.0,top
SW51,250.7875,-121.3,0.0,top
SW52,250.7875,-140.35,0.0,top
SW53,250.7875,-159.4,0.0,top
SW54,250.7875,-178.45,0.0,top
SW56,269.8375,-102.25,0.0,top
SW57,269.8375,-121.3,0.0,top
SW58,269.8375,-140.35,0.0,top
SW59,269.8375,-159.4,0.0,top
SW6,98.3875,-178.45,0.0,top
SW60,269.8375,-178.45,0.0,top
SW62,288.8875,-102.25,0.0,top
SW63,288.8875,-121.3,0.0,top
SW64,288.8875,-140.35,0.0,top
SW65,288.8875,-159.4,0.0,top
SW66,288.8875,-178.45,0.0,top
SW67,307.9375,-83.2,0.0,top
SW68,307.9375,-102.25,0.0,top
SW69,307.9375,-121.3,0.0,top
SW70,307.9375,-140.35,0.0,top
SW71,307.9375,-159.4,0.0,top
SW72,307.9375,-178.45,0.0,top
SW8,117.4375,-102.25,0.0,top
SW9,117.4375,-121.3,0.0,top
U1,233.11375,-80.54875,90.0,top
